title,company,model,year,price,mileage,color,transmission,location,date_posted,features,detail_link
Volkswagen Tiguan 2018,Volkswagen,Tiguan,2018,"1,640,000 EGP","58,000 Km",Dark blue,N/A,Alexandria,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/7030177
BMW X6 M 2019,BMW,X6,2019,"3,650,000 EGP","80,000 Km",Silver,N/A,Port Said,2025-08-07,Automatic | Air Conditioner,https://eg.hatla2ee.com/en/car/bmw/X6-M/7032781
MG ZS 2021,MG,ZS,2021,"800,000 EGP","100,000 Km",Silver,N/A,Luxor,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/zs/7032750
Chevrolet Optra 2005,Chevrolet,Optra,2005,"360,000 EGP","270,000 Km",White,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/chevrolet/optra/7032736
Peugeot 3008 2021,Peugeot,3008,3008,"1,850,000 EGP","20,000 Km",Red,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/peugeot/3008/7032727
Jeep Liberty 2003,Jeep,Liberty,2003,"480,000 EGP","250,000 Km",Dark red,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/jeep/liberty/7032712
Hyundai Accent RB 2021,Hyundai,Accent,2021,"660,000 EGP","110,000 Km",Red,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/7032700
Renault Logan 2021,Renault,Logan,2021,"580,000 EGP","120,000 Km",Red,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/renault/logan/7032697
Mercedes CLA 200 2022,Mercedes,CLA,2022,"2,650,000 EGP","4,800 Km",Dark blue,N/A,Sheikh Zayed City,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/mercedes/cla-200/7032659
Volkswagen Caddy 2021,Volkswagen,Caddy,2021,"1,300,000 EGP","139,000 Km",Black,N/A,Nasr city,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/caddy/7032287
Renault Sandero Step Way 2013,Renault,Sandero,2013,"390,000 EGP","143,000 Km",Silver,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/renault/sandero-step-way/7032864
Kia Carens 2014,Kia,Carens,2014,"950,000 EGP","90,000 Km",Mocha,N/A,Mansoura,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/kia/carens/7032850
Hyundai Verna 2012,Hyundai,Verna,2012,"345,000 EGP","262,000 Km",Black,N/A,Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/hyundai/verna/7032863
Proton Gen 2 2013,Proton,Gen,2013,"440,000 EGP","240,000 Km",Silver,N/A,6 October,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/proton/gen-2/7032836
Nissan Sentra 2024,Nissan,Sentra,2024,-,"22,000 Km",Silver,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sentra/7032862
Kia Cerato 2016,Kia,Cerato,2016,"620,000 EGP","214,000 Km",Silver,N/A,Dakahlia,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/kia/cerato/7032838
MG One 2025,MG,One,2025,"1,300,000 EGP","10,000 Km",Black,N/A,Sheikh Zayed City,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/MG+One/7030296
Renault Fluence 2010,Renault,Fluence,2010,"420,000 EGP","217,000 Km",Black,N/A,Mokattam,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/renault/fluence/7032851
Skoda Octavia A5 2008,Skoda,Octavia,2008,"520,000 EGP","165,000 Km",Black,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/skoda/Octavia-A5/7028007
Jetour X70 2022,Jetour,X70,2022,"1,000,000 EGP","157,000 Km",White,N/A,Ismailia,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/jetour/X70/7032742
Suzuki Ciaz 2021,Suzuki,Ciaz,2021,-,N/A,White,N/A,10th of Ramadan,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/suzuki/ciaz/7032183
MG 5 2020,MG,5,2020,"700,000 EGP","220,000 Km",White,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/7032849
Chery Arrizo 5 2025,Chery,Arrizo,2025,"690,000 EGP","8,000 Km",Eggplant,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7032839
Kia Cerato 2015,Kia,Cerato,2015,"870,000 EGP",N/A,Dark grey,N/A,Heliopolis,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/kia/cerato/7032847
Mercedes C 180 2009,Mercedes,C,2009,"950,000 EGP","410,000 Km",Silver,N/A,10th of Ramadan,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/mercedes/c-180/6990877
Renault 9 1986,Renault,9,1986,"85,000 EGP","100,000 Km",White,N/A,Al Shorouk,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/renault/9/7032843
Speranza A516 2010,Speranza,A516,2010,"205,000 EGP","205,000 Km",Silver,N/A,Al Shorouk,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/speranza/a516/7032841
Chevrolet Lanos 2014,Chevrolet,Lanos,2014,"370,000 EGP",N/A,Dark blue,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7032831
Hyundai Accent 2010,Hyundai,Accent,2010,"450,000 EGP","240,000 Km",Silver,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/hyundai/accent/7028005
Suzuki Swift Dzire 2022,Suzuki,Swift,2022,"630,000 EGP","60,000 Km",Mocha,N/A,Sharqia,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/suzuki/swift-dzire/7032830
Nissan Sunny 2013,Nissan,Sunny,2013,"400,000 EGP","97,000 Km",Black,N/A,Alexandria,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/nissan/sunny/7032828
Volkswagen Pointer 2005,Volkswagen,Pointer,2005,"160,000 EGP","20,000 Km",Black,N/A,6 October,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/pointer/7032827
Chevrolet Optra 2019,Chevrolet,Optra,2019,"520,000 EGP","105,000 Km",Dark grey,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chevrolet/optra/6990853
Peugeot 301 2014,Peugeot,301,2014,"470,000 EGP","115,000 Km",Bronze,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/peugeot/301/6992134
Hyundai I10 2014,Hyundai,I10,2014,"460,000 EGP","69,000 Km",Red,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/hyundai/i10/7016114
MG RX5 Plus 2025,MG,RX5,2025,"1,450,000 EGP","1,000 Km",Dark grey,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/RX5-Plus/7030270
Peugeot 304 1976,Peugeot,304,1976,"60,000 EGP","2,000,000 Km",Silver,N/A,Heliopolis,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/peugeot/peugeot-304/7032818
Other Other 2011,Other,Other,2011,"655,000 EGP",N/A,Mocha,N/A,Kafr el-Sheikh,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/other/other-other/7032784
Hyundai Excel 1997,Hyundai,Excel,1997,"147,000 EGP","365,000 Km",Other,N/A,10th of Ramadan,2025-08-07,Remote Control,https://eg.hatla2ee.com/en/car/hyundai/excel/7032816
Hyundai Verna 2012,Hyundai,Verna,2012,"350,000 EGP","220,000 Km",Black,N/A,Tanta,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/hyundai/verna/7027974
Nissan Sunny 2021,Nissan,Sunny,2021,"565,000 EGP","112,000 Km",Bronze,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sunny/7032630
Skoda Kodiaq 2020,Skoda,Kodiaq,2020,"2,750,000 EGP","52,000 Km",White,N/A,Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/skoda/kodiaq/7032628
Nissan Sunny 2016,Nissan,Sunny,2016,"465,000 EGP","135,000 Km",Bronze,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/nissan/sunny/7032619
Mercedes GLC 300 2023,Mercedes,GLC,2023,"4,450,000 EGP","14,000 Km",Gold,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/glc-300/7032597
Mercedes C 180 2020,Mercedes,C,2020,"2,000,000 EGP","88,000 Km",Beige,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/c-180/7032594
Honda City 2006,Honda,City,2006,"390,000 EGP","407,170 Km",Black,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner,https://eg.hatla2ee.com/en/car/honda/city/7032587
Mercedes C 200 2019,Mercedes,C,2019,"2,200,000 EGP","113,000 Km",Gray,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/c-200/7031685
Volkswagen Pointer 2006,Volkswagen,Pointer,2006,"276,000 EGP","146,000 Km",Gold,N/A,Alexandria,2025-08-07,Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/volks-wagen/pointer/6983157
BMW 318 2016,BMW,318,2016,"1,160,000 EGP","136,000 Km",Silver,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/bmw/318/7032557
